DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145968,142206,84039,119577,161320,2022-03-12
Waitemata,508455,503071,314854,440734,526087,2022-03-12
Auckland,422049,417579,273182,371632,423958,2022-03-12
Counties Manukau,465543,458755,264165,390068,482773,2022-03-12
Waikato,340955,334898,195377,284392,357176,2022-03-12
Lakes,88483,86580,49778,71509,94419,2022-03-12
Bay of Plenty,206990,202952,118115,170144,216941,2022-03-12
Tairawhiti,39256,38221,21565,30774,41965,2022-03-12
Taranaki,96992,95353,56165,79869,102147,2022-03-12
Hawkes Bay,141824,139144,84562,115885,145571,2022-03-12
MidCentral,147658,145417,91829,122486,152302,2022-03-12
Whanganui,52945,51935,32515,43541,57247,2022-03-12
Capital and Coast,268088,265885,189964,233466,271174,2022-03-12
Hutt Valley,126304,124801,82703,106608,130239,2022-03-12
Wairarapa,40130,39457,25452,33607,41427,2022-03-12
Nelson Marlborough,131649,129773,84849,110919,135743,2022-03-12
West Coast,26003,25519,16065,21522,27906,2022-03-12
Canterbury,482733,477551,312867,413276,482890,2022-03-12
South Canterbury,50225,49591,32817,42608,52584,2022-03-12
Southern,283317,279778,182537,242272,288015,2022-03-12
Overseas / Unknown,2977,2881,1429,2468,17173,2022-03-12
New Zealand,4068544,4011347,2514829,3447357,4209057,2022-03-12
