DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145363,141932,87006,125323,161320,2022-04-10
Waitemata,507512,502679,325868,451706,526087,2022-04-10
Auckland,420673,416690,281937,379564,423958,2022-04-10
Counties Manukau,464415,458367,272977,403108,482773,2022-04-10
Waikato,339639,334239,202147,295905,357176,2022-04-10
Lakes,87993,86297,51399,75443,94419,2022-04-10
Bay of Plenty,206222,202521,121593,179973,216941,2022-04-10
Tairawhiti,39093,38163,22317,32838,41965,2022-04-10
Taranaki,96660,95228,58492,83822,102147,2022-04-10
Hawkes Bay,141360,138969,87621,122100,145571,2022-04-10
MidCentral,146873,144936,94841,128228,152302,2022-04-10
Whanganui,52626,51754,33648,45954,57247,2022-04-10
Capital and Coast,267138,265316,194859,240259,271174,2022-04-10
Hutt Valley,125843,124556,85309,111144,130239,2022-04-10
Wairarapa,39946,39340,26209,35163,41427,2022-04-10
Nelson Marlborough,130883,129219,87163,116045,135743,2022-04-10
West Coast,25858,25452,16657,22773,27906,2022-04-10
Canterbury,481452,477088,325392,428968,482890,2022-04-10
South Canterbury,49859,49315,33740,44241,52584,2022-04-10
Southern,283606,280538,188824,252527,288015,2022-04-10
Overseas / Unknown,2801,2707,1367,2468,17173,2022-04-10
New Zealand,4055815,4005306,2599366,3577552,4209057,2022-04-10
