DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145305,141845,85719,123301,161320,2022-03-23
Waitemata,507201,502132,320945,447402,526087,2022-03-23
Auckland,420905,416634,278032,376353,423958,2022-03-23
Counties Manukau,464531,458182,269149,398393,482773,2022-03-23
Waikato,339610,333965,199085,291207,357176,2022-03-23
Lakes,88047,86305,50759,73864,94419,2022-03-23
Bay of Plenty,206090,202279,120253,176025,216941,2022-03-23
Tairawhiti,39107,38122,22080,32006,41965,2022-03-23
Taranaki,96612,95135,57561,82090,102147,2022-03-23
Hawkes Bay,141263,138783,86442,119601,145571,2022-03-23
MidCentral,146948,144927,93702,126024,152302,2022-03-23
Whanganui,52639,51719,33208,45033,57247,2022-03-23
Capital and Coast,267243,265271,192905,237630,271174,2022-03-23
Hutt Valley,125808,124457,84198,109307,130239,2022-03-23
Wairarapa,39953,39334,25919,34575,41427,2022-03-23
Nelson Marlborough,130934,129236,86211,113727,135743,2022-03-23
West Coast,25842,25404,16373,22183,27906,2022-03-23
Canterbury,481175,476537,320341,422473,482890,2022-03-23
South Canterbury,49905,49329,33408,43655,52584,2022-03-23
Southern,282547,279309,185873,247896,288015,2022-03-23
Overseas / Unknown,2929,2830,1444,2524,17173,2022-03-23
New Zealand,4054594,4001735,2563607,3525269,4209057,2022-03-23
