DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145610,141441,74748,111677,161320,2022-02-22
Waitemata,507759,501680,277636,428227,526087,2022-02-22
Auckland,421681,416884,243094,363350,423958,2022-02-22
Counties Manukau,464762,457141,232328,375214,482773,2022-02-22
Waikato,340189,333452,173161,269374,357176,2022-02-22
Lakes,88356,86197,44064,66723,94419,2022-02-22
Bay of Plenty,206592,202067,104377,159829,216941,2022-02-22
Tairawhiti,39126,37975,18925,28391,41965,2022-02-22
Taranaki,96794,94955,48561,74653,102147,2022-02-22
Hawkes Bay,141402,138338,75089,108821,145571,2022-02-22
MidCentral,147356,144771,81428,115799,152302,2022-02-22
Whanganui,52861,51723,29265,40993,57247,2022-02-22
Capital and Coast,267593,265006,168326,225043,271174,2022-02-22
Hutt Valley,126200,124463,73142,101544,130239,2022-02-22
Wairarapa,40065,39314,23185,31719,41427,2022-02-22
Nelson Marlborough,131351,129229,78516,105162,135743,2022-02-22
West Coast,25960,25407,14302,19997,27906,2022-02-22
Canterbury,481479,475577,267998,387934,482890,2022-02-22
South Canterbury,50177,49423,29298,40410,52584,2022-02-22
Southern,281708,277890,166333,229331,288015,2022-02-22
Overseas / Unknown,2992,2885,1252,2403,17173,2022-02-22
New Zealand,4060013,3995818,2225028,3286594,4209057,2022-02-22
