DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145333,141927,87268,125970,161320,2022-04-19
Waitemata,507583,502812,328157,452898,526087,2022-04-19
Auckland,420632,416697,282952,380021,423958,2022-04-19
Counties Manukau,464442,458442,274058,403844,482773,2022-04-19
Waikato,339670,334325,202733,296657,357176,2022-04-19
Lakes,87988,86301,51545,75808,94419,2022-04-19
Bay of Plenty,206207,202543,121849,180638,216941,2022-04-19
Tairawhiti,39102,38180,22388,33070,41965,2022-04-19
Taranaki,96658,95243,58670,84220,102147,2022-04-19
Hawkes Bay,141434,139069,87854,122837,145571,2022-04-19
MidCentral,146848,144942,95077,128754,152302,2022-04-19
Whanganui,52626,51754,33792,46153,57247,2022-04-19
Capital and Coast,267049,265252,195024,240561,271174,2022-04-19
Hutt Valley,125856,124585,85485,111551,130239,2022-04-19
Wairarapa,39972,39376,26328,35289,41427,2022-04-19
Nelson Marlborough,130906,129270,87505,116543,135743,2022-04-19
West Coast,25862,25466,16672,22842,27906,2022-04-19
Canterbury,481482,477197,326304,430104,482890,2022-04-19
South Canterbury,49843,49312,33778,44403,52584,2022-04-19
Southern,283675,280634,189375,252927,288015,2022-04-19
Overseas / Unknown,2893,2800,1421,2564,17173,2022-04-19
New Zealand,4056061,4006127,2608235,3587654,4209057,2022-04-19
