DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145729,141667,77925,113281,161320,2022-02-26
Waitemata,508034,502193,292237,431141,526087,2022-02-26
Auckland,421890,417161,255265,365502,423958,2022-02-26
Counties Manukau,465000,457656,244740,377843,482773,2022-02-26
Waikato,340419,333896,181364,272498,357176,2022-02-26
Lakes,88390,86295,45917,67518,94419,2022-02-26
Bay of Plenty,206739,202383,109214,161983,216941,2022-02-26
Tairawhiti,39207,38080,19643,28772,41965,2022-02-26
Taranaki,96863,95100,51292,75645,102147,2022-02-26
Hawkes Bay,141461,138528,78027,110043,145571,2022-02-26
MidCentral,147404,144927,85315,117067,152302,2022-02-26
Whanganui,52873,51767,30343,41481,57247,2022-02-26
Capital and Coast,267779,265351,177072,226843,271174,2022-02-26
Hutt Valley,126244,124601,76674,102529,130239,2022-02-26
Wairarapa,40083,39361,23957,31991,41427,2022-02-26
Nelson Marlborough,131441,129401,80760,106154,135743,2022-02-26
West Coast,25972,25441,14958,20223,27906,2022-02-26
Canterbury,482078,476397,285985,393517,482890,2022-02-26
South Canterbury,50194,49505,30583,40795,52584,2022-02-26
Southern,281948,278267,173079,232019,288015,2022-02-26
Overseas / Unknown,2985,2879,1294,2411,17173,2022-02-26
New Zealand,4062733,4000856,2335644,3319256,4209057,2022-02-26
