DHB,Dose1,Dose2,Population,Date
Northland,131094,111470,161320,2021-11-09
Waitemata,484734,442757,526087,2021-11-09
Auckland,401943,371779,423958,2021-11-09
Counties Manukau,435975,390848,482773,2021-11-09
Waikato,314953,273584,357176,2021-11-09
Lakes,78004,66572,94419,2021-11-09
Bay of Plenty,183796,157415,216941,2021-11-09
Tairawhiti,34044,28590,41965,2021-11-09
Taranaki,87777,73634,102147,2021-11-09
Hawkes Bay,125999,109393,145571,2021-11-09
MidCentral,133870,116388,152302,2021-11-09
Whanganui,47166,41158,57247,2021-11-09
Capital and Coast,252266,228815,271174,2021-11-09
Hutt Valley,116262,103278,130239,2021-11-09
Wairarapa,36163,31499,41427,2021-11-09
Nelson Marlborough,119573,106586,135743,2021-11-09
West Coast,23399,19928,27906,2021-11-09
Canterbury,448167,383978,482890,2021-11-09
South Canterbury,46342,41119,52584,2021-11-09
Southern,263276,233306,288015,2021-11-09
Overseas / Unknown,2044,1763,17173,2021-11-09
New Zealand,3766847,3333860,4209057,2021-11-09
All DHBs to 90%,NA,NA,NA,2021-11-09
