DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145388,142019,87561,126761,161320,2022-04-28
Waitemata,507607,502919,329579,454165,526087,2022-04-28
Auckland,420542,416676,283905,380961,423958,2022-04-28
Counties Manukau,464479,458558,275044,405473,482773,2022-04-28
Waikato,339670,334368,203319,298097,357176,2022-04-28
Lakes,87961,86289,51713,76319,94419,2022-04-28
Bay of Plenty,206301,202668,122201,181753,216941,2022-04-28
Tairawhiti,39102,38186,22472,33347,41965,2022-04-28
Taranaki,96667,95271,58854,84712,102147,2022-04-28
Hawkes Bay,141534,139184,88202,123670,145571,2022-04-28
MidCentral,146829,144947,95367,129439,152302,2022-04-28
Whanganui,52625,51763,33886,46416,57247,2022-04-28
Capital and Coast,266996,265242,195405,241172,271174,2022-04-28
Hutt Valley,125845,124579,85678,111965,130239,2022-04-28
Wairarapa,39953,39360,26377,35414,41427,2022-04-28
Nelson Marlborough,130891,129275,87699,117167,135743,2022-04-28
West Coast,25867,25476,16727,22995,27906,2022-04-28
Canterbury,481581,477355,327455,432055,482890,2022-04-28
South Canterbury,49817,49291,33832,44574,52584,2022-04-28
Southern,283677,280653,189882,254066,288015,2022-04-28
Overseas / Unknown,2899,2801,1430,2607,17173,2022-04-28
New Zealand,4056231,4006880,2616588,3603128,4209057,2022-04-28
