DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145321,141895,86652,124707,161320,2022-04-05
Waitemata,507440,502537,324591,450483,526087,2022-04-05
Auckland,420761,416749,280952,378657,423958,2022-04-05
Counties Manukau,464406,458301,271814,401560,482773,2022-04-05
Waikato,339609,334146,201333,294509,357176,2022-04-05
Lakes,87977,86269,51199,74950,94419,2022-04-05
Bay of Plenty,206185,202449,121288,178891,216941,2022-04-05
Tairawhiti,39104,38151,22241,32603,41965,2022-04-05
Taranaki,96656,95224,58282,83220,102147,2022-04-05
Hawkes Bay,141348,138945,87351,121432,145571,2022-04-05
MidCentral,146901,144952,94619,127676,152302,2022-04-05
Whanganui,52613,51738,33536,45682,57247,2022-04-05
Capital and Coast,267166,265317,194334,239572,271174,2022-04-05
Hutt Valley,125826,124523,85045,110596,130239,2022-04-05
Wairarapa,39939,39324,26145,34972,41427,2022-04-05
Nelson Marlborough,130843,129163,86908,115339,135743,2022-04-05
West Coast,25849,25436,16576,22594,27906,2022-04-05
Canterbury,481405,476976,324260,427204,482890,2022-04-05
South Canterbury,49882,49323,33656,44063,52584,2022-04-05
Southern,283364,280259,188145,251338,288015,2022-04-05
Overseas / Unknown,2857,2763,1393,2494,17173,2022-04-05
New Zealand,4055452,4004440,2590320,3562542,4209057,2022-04-05
