DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145301,141853,85836,123642,161320,2022-03-24
Waitemata,507202,502121,321265,447907,526087,2022-03-24
Auckland,420886,416610,278297,376739,423958,2022-03-24
Counties Manukau,464467,458138,269340,398850,482773,2022-03-24
Waikato,339597,333961,199337,291797,357176,2022-03-24
Lakes,88046,86296,50812,74051,94419,2022-03-24
Bay of Plenty,206076,202266,120361,176500,216941,2022-03-24
Tairawhiti,39106,38122,22105,32104,41965,2022-03-24
Taranaki,96600,95129,57665,82257,102147,2022-03-24
Hawkes Bay,141266,138792,86531,119928,145571,2022-03-24
MidCentral,146942,144925,93797,126346,152302,2022-03-24
Whanganui,52631,51718,33249,45132,57247,2022-03-24
Capital and Coast,267240,265272,193101,237998,271174,2022-03-24
Hutt Valley,125811,124464,84308,109609,130239,2022-03-24
Wairarapa,39948,39332,25940,34650,41427,2022-03-24
Nelson Marlborough,130912,129210,86276,114012,135743,2022-03-24
West Coast,25845,25410,16399,22322,27906,2022-03-24
Canterbury,481159,476506,320812,423244,482890,2022-03-24
South Canterbury,49888,49312,33442,43727,52584,2022-03-24
Southern,282537,279306,186096,248334,288015,2022-03-24
Overseas / Unknown,2932,2835,1445,2535,17173,2022-03-24
New Zealand,4054392,4001578,2566414,3531684,4209057,2022-03-24
