DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145658,141525,75718,112165,161320,2022-02-23
Waitemata,507841,501812,280415,429198,526087,2022-02-23
Auckland,421693,416917,245482,364036,423958,2022-02-23
Counties Manukau,464825,457252,234437,376117,482773,2022-02-23
Waikato,340263,333594,175219,270376,357176,2022-02-23
Lakes,88369,86232,44414,66996,94419,2022-02-23
Bay of Plenty,206627,202145,105456,160593,216941,2022-02-23
Tairawhiti,39146,38003,19126,28534,41965,2022-02-23
Taranaki,96822,95004,49186,74986,102147,2022-02-23
Hawkes Bay,141439,138419,75951,109212,145571,2022-02-23
MidCentral,147379,144814,82373,116242,152302,2022-02-23
Whanganui,52863,51733,29575,41166,57247,2022-02-23
Capital and Coast,267674,265139,170561,225695,271174,2022-02-23
Hutt Valley,126214,124506,73995,101847,130239,2022-02-23
Wairarapa,40070,39329,23336,31791,41427,2022-02-23
Nelson Marlborough,131359,129268,79017,105507,135743,2022-02-23
West Coast,25957,25410,14445,20082,27906,2022-02-23
Canterbury,481676,475813,272238,389893,482890,2022-02-23
South Canterbury,50181,49443,29622,40532,52584,2022-02-23
Southern,281764,277983,167992,230184,288015,2022-02-23
Overseas / Unknown,2979,2872,1251,2393,17173,2022-02-23
New Zealand,4060799,3997213,2249809,3297545,4209057,2022-02-23
