DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145522,141283,73165,111135,161320,2022-02-20
Waitemata,507689,501534,270911,426650,526087,2022-02-20
Auckland,421619,416722,237242,362284,423958,2022-02-20
Counties Manukau,464596,456840,227438,373681,482773,2022-02-20
Waikato,340032,333207,169257,268186,357176,2022-02-20
Lakes,88312,86123,43308,66298,94419,2022-02-20
Bay of Plenty,206473,201876,102152,158591,216941,2022-02-20
Tairawhiti,39119,37933,18524,28184,41965,2022-02-20
Taranaki,96792,94917,47443,74214,102147,2022-02-20
Hawkes Bay,141284,138154,73655,108025,145571,2022-02-20
MidCentral,147338,144669,79605,115274,152302,2022-02-20
Whanganui,52836,51684,28683,40855,57247,2022-02-20
Capital and Coast,267428,264790,163057,224020,271174,2022-02-20
Hutt Valley,126223,124426,71451,100980,130239,2022-02-20
Wairarapa,40049,39291,22673,31613,41427,2022-02-20
Nelson Marlborough,131331,129168,77366,104789,135743,2022-02-20
West Coast,25957,25390,14013,19930,27906,2022-02-20
Canterbury,481139,475081,258885,385316,482890,2022-02-20
South Canterbury,50177,49413,28721,40252,52584,2022-02-20
Southern,281568,277659,162766,228233,288015,2022-02-20
Overseas / Unknown,2970,2862,1213,2379,17173,2022-02-20
New Zealand,4058454,3993022,2171528,3270889,4209057,2022-02-20
