DHB,Dose1,Dose2,Population,Date
Northland,144908,140139,161320,2022-02-03
Waitemata,506613,499638,526087,2022-02-03
Auckland,420895,415393,423958,2022-02-03
Counties Manukau,463061,454031,482773,2022-02-03
Waikato,338841,330878,357176,2022-02-03
Lakes,87961,85437,94419,2022-02-03
Bay of Plenty,205685,200283,216941,2022-02-03
Tairawhiti,38941,37578,41965,2022-02-03
Taranaki,96517,94296,102147,2022-02-03
Hawkes Bay,140497,136791,145571,2022-02-03
MidCentral,146790,143670,152302,2022-02-03
Whanganui,52626,51276,57247,2022-02-03
Capital and Coast,267034,263984,271174,2022-02-03
Hutt Valley,125961,123816,130239,2022-02-03
Wairarapa,39906,39068,41427,2022-02-03
Nelson Marlborough,130931,128353,135743,2022-02-03
West Coast,25900,25224,27906,2022-02-03
Canterbury,478844,471687,482890,2022-02-03
South Canterbury,50028,49138,52584,2022-02-03
Southern,280909,276333,288015,2022-02-03
Overseas / Unknown,2924,2804,17173,2022-02-03
New Zealand,4045772,3969817,4209057,2022-02-03
All DHBs to 90%,NA,NA,NA,2022-02-03
