DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145317,141891,86725,124749,161320,2022-04-06
Waitemata,507487,502590,324839,450643,526087,2022-04-06
Auckland,420740,416742,281093,378712,423958,2022-04-06
Counties Manukau,464377,458289,271954,401659,482773,2022-04-06
Waikato,339585,334140,201462,294621,357176,2022-04-06
Lakes,87990,86286,51244,75003,94419,2022-04-06
Bay of Plenty,206187,202455,121347,179017,216941,2022-04-06
Tairawhiti,39091,38140,22257,32615,41965,2022-04-06
Taranaki,96658,95222,58321,83246,102147,2022-04-06
Hawkes Bay,141345,138946,87409,121478,145571,2022-04-06
MidCentral,146897,144953,94675,127729,152302,2022-04-06
Whanganui,52620,51741,33573,45724,57247,2022-04-06
Capital and Coast,267161,265317,194417,239647,271174,2022-04-06
Hutt Valley,125831,124535,85089,110625,130239,2022-04-06
Wairarapa,39935,39323,26156,34990,41427,2022-04-06
Nelson Marlborough,130857,129189,86953,115446,135743,2022-04-06
West Coast,25851,25441,16590,22601,27906,2022-04-06
Canterbury,481428,477015,324490,427350,482890,2022-04-06
South Canterbury,49879,49323,33672,44067,52584,2022-04-06
Southern,283463,280375,188337,251532,288015,2022-04-06
Overseas / Unknown,2837,2743,1380,2480,17173,2022-04-06
New Zealand,4055536,4004656,2591983,3563934,4209057,2022-04-06
