DHB,Dose1,Dose2,Population,Date
Northland,143664,137865,161320,2022-01-13
Waitemata,503811,495399,526087,2022-01-13
Auckland,418512,411866,423958,2022-01-13
Counties Manukau,459458,448659,482773,2022-01-13
Waikato,336186,326504,357176,2022-01-13
Lakes,87234,84010,94419,2022-01-13
Bay of Plenty,203869,197062,216941,2022-01-13
Tairawhiti,38516,36761,41965,2022-01-13
Taranaki,95642,92740,102147,2022-01-13
Hawkes Bay,138769,134025,145571,2022-01-13
MidCentral,145621,141606,152302,2022-01-13
Whanganui,52161,50457,57247,2022-01-13
Capital and Coast,265793,261792,271174,2022-01-13
Hutt Valley,125094,122436,130239,2022-01-13
Wairarapa,39572,38506,41427,2022-01-13
Nelson Marlborough,129856,126451,135743,2022-01-13
West Coast,25681,24819,27906,2022-01-13
Canterbury,475281,466030,482890,2022-01-13
South Canterbury,49615,48453,52584,2022-01-13
Southern,279170,273300,288015,2022-01-13
Overseas / Unknown,2899,2761,17173,2022-01-13
New Zealand,4016404,3921502,4209057,2022-01-13
All DHBs to 90%,NA,NA,NA,2022-01-13
