DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145884,142027,82526,117480,161320,2022-03-07
Waitemata,508336,502774,310003,437823,526087,2022-03-07
Auckland,421956,417422,269434,369489,423958,2022-03-07
Counties Manukau,465371,458370,259654,387223,482773,2022-03-07
Waikato,340788,334542,192003,280792,357176,2022-03-07
Lakes,88479,86494,48910,70185,94419,2022-03-07
Bay of Plenty,206910,202760,116089,167724,216941,2022-03-07
Tairawhiti,39232,38167,21164,30203,41965,2022-03-07
Taranaki,96956,95266,54854,78714,102147,2022-03-07
Hawkes Bay,141677,138918,82936,114411,145571,2022-03-07
MidCentral,147591,145264,90213,120643,152302,2022-03-07
Whanganui,52944,51893,31977,42893,57247,2022-03-07
Capital and Coast,267936,265651,187084,231329,271174,2022-03-07
Hutt Valley,126281,124731,81227,105505,130239,2022-03-07
Wairarapa,40117,39433,25029,33006,41427,2022-03-07
Nelson Marlborough,131583,129658,83680,109563,135743,2022-03-07
West Coast,25975,25475,15738,21121,27906,2022-03-07
Canterbury,482527,477206,306116,408388,482890,2022-03-07
South Canterbury,50202,49545,32113,42075,52584,2022-03-07
Southern,282940,279226,179709,239955,288015,2022-03-07
Overseas / Unknown,2974,2874,1405,2431,17173,2022-03-07
New Zealand,4066659,4007696,2471864,3410953,4209057,2022-03-07
