DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145330,141876,86049,123911,161320,2022-03-26
Waitemata,507250,502168,322085,448328,526087,2022-03-26
Auckland,420942,416659,279099,377105,423958,2022-03-26
Counties Manukau,464474,458170,270084,399259,482773,2022-03-26
Waikato,339623,333999,199854,292386,357176,2022-03-26
Lakes,88060,86309,50903,74240,94419,2022-03-26
Bay of Plenty,206097,202299,120581,176917,216941,2022-03-26
Tairawhiti,39111,38128,22127,32222,41965,2022-03-26
Taranaki,96625,95158,57831,82464,102147,2022-03-26
Hawkes Bay,141290,138811,86715,120291,145571,2022-03-26
MidCentral,146946,144936,93997,126697,152302,2022-03-26
Whanganui,52630,51723,33305,45280,57247,2022-03-26
Capital and Coast,267282,265326,193425,238406,271174,2022-03-26
Hutt Valley,125826,124486,84499,109869,130239,2022-03-26
Wairarapa,39950,39332,26004,34729,41427,2022-03-26
Nelson Marlborough,130928,129219,86432,114272,135743,2022-03-26
West Coast,25848,25417,16439,22396,27906,2022-03-26
Canterbury,481211,476591,321778,424126,482890,2022-03-26
South Canterbury,49889,49317,33488,43816,52584,2022-03-26
Southern,282631,279427,186505,248945,288015,2022-03-26
Overseas / Unknown,2933,2834,1445,2542,17173,2022-03-26
New Zealand,4054876,4002185,2572645,3538201,4209057,2022-03-26
