DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145340,141940,87306,126119,161320,2022-04-20
Waitemata,507548,502785,328346,453011,526087,2022-04-20
Auckland,420623,416715,283075,380159,423958,2022-04-20
Counties Manukau,464455,458467,274184,404042,482773,2022-04-20
Waikato,339671,334330,202805,296850,357176,2022-04-20
Lakes,87987,86304,51572,75866,94419,2022-04-20
Bay of Plenty,206243,202587,121900,180804,216941,2022-04-20
Tairawhiti,39106,38184,22402,33113,41965,2022-04-20
Taranaki,96676,95274,58710,84276,102147,2022-04-20
Hawkes Bay,141443,139079,87904,122933,145571,2022-04-20
MidCentral,146862,144959,95111,128875,152302,2022-04-20
Whanganui,52617,51745,33807,46192,57247,2022-04-20
Capital and Coast,267042,265245,195079,240639,271174,2022-04-20
Hutt Valley,125851,124581,85501,111590,130239,2022-04-20
Wairarapa,39968,39371,26326,35311,41427,2022-04-20
Nelson Marlborough,130905,129278,87531,116630,135743,2022-04-20
West Coast,25867,25472,16680,22865,27906,2022-04-20
Canterbury,481489,477227,326455,430351,482890,2022-04-20
South Canterbury,49839,49310,33787,44422,52584,2022-04-20
Southern,283647,280610,189410,253065,288015,2022-04-20
Overseas / Unknown,2901,2807,1420,2574,17173,2022-04-20
New Zealand,4056080,4006270,2609311,3589687,4209057,2022-04-20
