DHB,Dose1,Dose2,Population,Date
Northland,145007,140309,161320,2022-02-06
Waitemata,506877,500000,526087,2022-02-06
Auckland,420919,415540,423958,2022-02-06
Counties Manukau,463366,454549,482773,2022-02-06
Waikato,339046,331260,357176,2022-02-06
Lakes,88017,85531,94419,2022-02-06
Bay of Plenty,205814,200544,216941,2022-02-06
Tairawhiti,38961,37654,41965,2022-02-06
Taranaki,96584,94416,102147,2022-02-06
Hawkes Bay,140586,136977,145571,2022-02-06
MidCentral,146872,143801,152302,2022-02-06
Whanganui,52678,51340,57247,2022-02-06
Capital and Coast,267079,264086,271174,2022-02-06
Hutt Valley,126023,123918,130239,2022-02-06
Wairarapa,39943,39122,41427,2022-02-06
Nelson Marlborough,130992,128484,135743,2022-02-06
West Coast,25919,25257,27906,2022-02-06
Canterbury,479086,472083,482890,2022-02-06
South Canterbury,50058,49185,52584,2022-02-06
Southern,280977,276532,288015,2022-02-06
Overseas / Unknown,2918,2799,17173,2022-02-06
New Zealand,4047722,3973387,4209057,2022-02-06
All DHBs to 90%,NA,NA,NA,2022-02-06
