DHB,Dose1,Dose2,Population,Date
Northland,142304,134023,161320,2021-12-21
Waitemata,500193,487882,526087,2021-12-21
Auckland,414189,404542,423958,2021-12-21
Counties Manukau,455637,439788,482773,2021-12-21
Waikato,333356,318592,357176,2021-12-21
Lakes,86443,81335,94419,2021-12-21
Bay of Plenty,201662,190543,216941,2021-12-21
Tairawhiti,38046,35388,41965,2021-12-21
Taranaki,94710,89915,102147,2021-12-21
Hawkes Bay,137187,129706,145571,2021-12-21
MidCentral,144469,137767,152302,2021-12-21
Whanganui,51710,48873,57247,2021-12-21
Capital and Coast,263701,256930,271174,2021-12-21
Hutt Valley,124143,119437,130239,2021-12-21
Wairarapa,39265,37529,41427,2021-12-21
Nelson Marlborough,128384,122276,135743,2021-12-21
West Coast,25464,23982,27906,2021-12-21
Canterbury,471474,455479,482890,2021-12-21
South Canterbury,49169,47267,52584,2021-12-21
Southern,277270,267294,288015,2021-12-21
Overseas / Unknown,2834,2658,17173,2021-12-21
New Zealand,3981610,3831206,4209057,2021-12-21
All DHBs to 90%,NA,NA,NA,2021-12-21
