DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145845,141978,82195,117338,161320,2022-03-06
Waitemata,508316,502721,308757,437272,526087,2022-03-06
Auckland,421992,417450,268427,369171,423958,2022-03-06
Counties Manukau,465325,458286,258621,386614,482773,2022-03-06
Waikato,340774,334470,191240,280405,357176,2022-03-06
Lakes,88474,86470,48667,69869,94419,2022-03-06
Bay of Plenty,206837,202667,115626,167237,216941,2022-03-06
Tairawhiti,39239,38171,21072,29993,41965,2022-03-06
Taranaki,96936,95256,54551,78526,102147,2022-03-06
Hawkes Bay,141648,138885,82620,113924,145571,2022-03-06
MidCentral,147557,145231,89876,120439,152302,2022-03-06
Whanganui,52942,51880,31803,42811,57247,2022-03-06
Capital and Coast,267919,265622,186209,231117,271174,2022-03-06
Hutt Valley,126264,124711,80811,105232,130239,2022-03-06
Wairarapa,40113,39427,24931,32937,41427,2022-03-06
Nelson Marlborough,131571,129628,83424,109424,135743,2022-03-06
West Coast,25973,25471,15694,21108,27906,2022-03-06
Canterbury,482489,477140,304570,407616,482890,2022-03-06
South Canterbury,50203,49538,31967,42009,52584,2022-03-06
Southern,282807,279316,180108,239684,288015,2022-03-06
Overseas / Unknown,2966,2866,1391,2416,17173,2022-03-06
New Zealand,4066190,4007184,2462560,3405142,4209057,2022-03-06
