DHB,Dose1,Dose2,Population,Date
Northland,143045,136438,161320,2022-01-06
Waitemata,502016,492523,526087,2022-01-06
Auckland,416218,408700,423958,2022-01-06
Counties Manukau,457621,445239,482773,2022-01-06
Waikato,334836,323757,357176,2022-01-06
Lakes,86885,83184,94419,2022-01-06
Bay of Plenty,202927,195152,216941,2022-01-06
Tairawhiti,38287,36284,41965,2022-01-06
Taranaki,95250,91805,102147,2022-01-06
Hawkes Bay,138119,132583,145571,2022-01-06
MidCentral,145077,140328,152302,2022-01-06
Whanganui,51965,49954,57247,2022-01-06
Capital and Coast,264810,260124,271174,2022-01-06
Hutt Valley,124683,121431,130239,2022-01-06
Wairarapa,39412,38147,41427,2022-01-06
Nelson Marlborough,129183,125196,135743,2022-01-06
West Coast,25584,24588,27906,2022-01-06
Canterbury,473501,462475,482890,2022-01-06
South Canterbury,49398,48078,52584,2022-01-06
Southern,278325,271437,288015,2022-01-06
Overseas / Unknown,2841,2690,17173,2022-01-06
New Zealand,3999983,3890113,4209057,2022-01-06
All DHBs to 90%,NA,NA,NA,2022-01-06
