DHB,Dose1,Dose2,Population,Date
Northland,141153,130860,161320,2021-12-13
Waitemata,498549,483106,526087,2021-12-13
Auckland,412941,401147,423958,2021-12-13
Counties Manukau,453492,433745,482773,2021-12-13
Waikato,331653,313104,357176,2021-12-13
Lakes,85872,79394,94419,2021-12-13
Bay of Plenty,200505,185917,216941,2021-12-13
Tairawhiti,37737,34413,41965,2021-12-13
Taranaki,94083,88118,102147,2021-12-13
Hawkes Bay,136158,126801,145571,2021-12-13
MidCentral,143715,134891,152302,2021-12-13
Whanganui,51397,47716,57247,2021-12-13
Capital and Coast,262880,253942,271174,2021-12-13
Hutt Valley,123590,117379,130239,2021-12-13
Wairarapa,39089,36792,41427,2021-12-13
Nelson Marlborough,127594,119961,135743,2021-12-13
West Coast,25282,23434,27906,2021-12-13
Canterbury,469579,449036,482890,2021-12-13
South Canterbury,48880,46438,52584,2021-12-13
Southern,276108,263236,288015,2021-12-13
Overseas / Unknown,2839,2628,17173,2021-12-13
New Zealand,3963096,3772058,4209057,2021-12-13
All DHBs to 90%,NA,NA,NA,2021-12-13
