DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145325,141868,85959,123913,161320,2022-03-25
Waitemata,507210,502122,321715,448326,526087,2022-03-25
Auckland,420936,416652,278723,377114,423958,2022-03-25
Counties Manukau,464427,458116,269579,399255,482773,2022-03-25
Waikato,339612,333979,199627,292383,357176,2022-03-25
Lakes,88055,86302,50858,74244,94419,2022-03-25
Bay of Plenty,206084,202280,120488,176914,216941,2022-03-25
Tairawhiti,39111,38128,22123,32221,41965,2022-03-25
Taranaki,96615,95145,57759,82459,102147,2022-03-25
Hawkes Bay,141275,138798,86627,120291,145571,2022-03-25
MidCentral,146933,144922,93916,126697,152302,2022-03-25
Whanganui,52629,51720,33274,45281,57247,2022-03-25
Capital and Coast,267265,265299,193281,238409,271174,2022-03-25
Hutt Valley,125813,124473,84400,109867,130239,2022-03-25
Wairarapa,39947,39329,25981,34727,41427,2022-03-25
Nelson Marlborough,130921,129207,86374,114269,135743,2022-03-25
West Coast,25848,25415,16428,22396,27906,2022-03-25
Canterbury,481183,476545,321327,424123,482890,2022-03-25
South Canterbury,49888,49314,33472,43817,52584,2022-03-25
Southern,282608,279393,186362,248942,288015,2022-03-25
Overseas / Unknown,2929,2830,1443,2538,17173,2022-03-25
New Zealand,4054614,4001837,2569716,3538186,4209057,2022-03-25
