DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145830,141948,81638,116221,161320,2022-03-04
Waitemata,508229,502584,306095,434891,526087,2022-03-04
Auckland,421952,417380,266162,367476,423958,2022-03-04
Counties Manukau,465275,458148,255329,383861,482773,2022-03-04
Waikato,340748,334413,190071,277901,357176,2022-03-04
Lakes,88455,86438,48194,69214,94419,2022-03-04
Bay of Plenty,206825,202635,114602,165647,216941,2022-03-04
Tairawhiti,39227,38154,20821,29647,41965,2022-03-04
Taranaki,96910,95219,54111,77555,102147,2022-03-04
Hawkes Bay,141596,138800,81480,112778,145571,2022-03-04
MidCentral,147553,145199,89197,119366,152302,2022-03-04
Whanganui,52931,51864,31652,42486,57247,2022-03-04
Capital and Coast,267911,265601,185055,229491,271174,2022-03-04
Hutt Valley,126262,124686,80163,104256,130239,2022-03-04
Wairarapa,40109,39420,24784,32535,41427,2022-03-04
Nelson Marlborough,131563,129611,83057,108256,135743,2022-03-04
West Coast,25973,25472,15627,20808,27906,2022-03-04
Canterbury,482427,477025,301679,403297,482890,2022-03-04
South Canterbury,50206,49539,31761,41649,52584,2022-03-04
Southern,282757,279236,179328,237353,288015,2022-03-04
Overseas / Unknown,2964,2863,1370,2385,17173,2022-03-04
New Zealand,4065703,4006235,2442176,3377073,4209057,2022-03-04
