DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145750,141718,78900,114250,161320,2022-02-28
Waitemata,508082,502296,297924,434341,526087,2022-02-28
Auckland,421915,417244,259633,367677,423958,2022-02-28
Counties Manukau,465056,457774,248964,381946,482773,2022-02-28
Waikato,340492,333997,184032,275179,357176,2022-02-28
Lakes,88417,86348,46866,68272,94419,2022-02-28
Bay of Plenty,206787,202490,111427,163736,216941,2022-02-28
Tairawhiti,39227,38108,20197,29129,41965,2022-02-28
Taranaki,96881,95130,52128,76459,102147,2022-02-28
Hawkes Bay,141476,138598,79240,111456,145571,2022-02-28
MidCentral,147442,144982,86528,118103,152302,2022-02-28
Whanganui,52896,51797,30700,41817,57247,2022-02-28
Capital and Coast,267821,265424,179926,228265,271174,2022-02-28
Hutt Valley,126246,124620,77904,103520,130239,2022-02-28
Wairarapa,40085,39363,24216,32326,41427,2022-02-28
Nelson Marlborough,131463,129443,81423,107014,135743,2022-02-28
West Coast,25973,25447,15059,20506,27906,2022-02-28
Canterbury,482157,476561,290899,397956,482890,2022-02-28
South Canterbury,50190,49517,30921,41227,52584,2022-02-28
Southern,282105,278452,174990,233970,288015,2022-02-28
Overseas / Unknown,2989,2885,1322,2437,17173,2022-02-28
New Zealand,4063450,4002194,2373199,3349586,4209057,2022-02-28
