DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145296,141795,85418,122675,161320,2022-03-21
Waitemata,507119,502060,320066,446274,526087,2022-03-21
Auckland,420918,416648,277352,375614,423958,2022-03-21
Counties Manukau,464460,458100,268511,397156,482773,2022-03-21
Waikato,339567,333902,198432,290134,357176,2022-03-21
Lakes,88040,86282,50614,73494,94419,2022-03-21
Bay of Plenty,206028,202211,119888,175113,216941,2022-03-21
Tairawhiti,39106,38118,22035,31801,41965,2022-03-21
Taranaki,96590,95103,57356,81669,102147,2022-03-21
Hawkes Bay,141227,138725,86190,119014,145571,2022-03-21
MidCentral,146924,144889,93385,125481,152302,2022-03-21
Whanganui,52622,51691,33086,44765,57247,2022-03-21
Capital and Coast,267189,265217,192415,236903,271174,2022-03-21
Hutt Valley,125813,124452,83999,108922,130239,2022-03-21
Wairarapa,39944,39317,25835,34433,41427,2022-03-21
Nelson Marlborough,130929,129224,85960,113196,135743,2022-03-21
West Coast,25832,25397,16309,22084,27906,2022-03-21
Canterbury,481032,476396,319114,420970,482890,2022-03-21
South Canterbury,49899,49314,33286,43455,52584,2022-03-21
Southern,282446,279194,185216,246827,288015,2022-03-21
Overseas / Unknown,2926,2832,1440,2511,17173,2022-03-21
New Zealand,4053907,4000867,2555907,3512491,4209057,2022-03-21
