DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145800,141854,80294,114745,161320,2022-03-02
Waitemata,508136,502415,302308,432690,526087,2022-03-02
Auckland,421976,417373,263114,366063,423958,2022-03-02
Counties Manukau,465171,457968,252360,381935,482773,2022-03-02
Waikato,340628,334218,187326,275285,357176,2022-03-02
Lakes,88429,86390,47660,68484,94419,2022-03-02
Bay of Plenty,206825,202563,113193,164033,216941,2022-03-02
Tairawhiti,39243,38153,20566,29275,41965,2022-03-02
Taranaki,96900,95176,53133,76841,102147,2022-03-02
Hawkes Bay,141561,138722,80545,111590,145571,2022-03-02
MidCentral,147513,145097,87990,118235,152302,2022-03-02
Whanganui,52915,51833,31142,41966,57247,2022-03-02
Capital and Coast,267895,265531,182748,227680,271174,2022-03-02
Hutt Valley,126277,124684,79211,103325,130239,2022-03-02
Wairarapa,40096,39392,24519,32234,41427,2022-03-02
Nelson Marlborough,131507,129515,82323,107038,135743,2022-03-02
West Coast,25966,25455,15362,20604,27906,2022-03-02
Canterbury,482328,476828,296606,398115,482890,2022-03-02
South Canterbury,50211,49532,31353,41270,52584,2022-03-02
Southern,282375,278786,177333,234352,288015,2022-03-02
Overseas / Unknown,2967,2864,1339,2359,17173,2022-03-02
New Zealand,4064719,4004349,2410425,3348119,4209057,2022-03-02
