DHB,Dose1,Dose2,Population,Date
Northland,142562,134918,161320,2021-12-25
Waitemata,500648,489373,526087,2021-12-25
Auckland,414658,405719,423958,2021-12-25
Counties Manukau,456167,441434,482773,2021-12-25
Waikato,333818,320538,357176,2021-12-25
Lakes,86559,81988,94419,2021-12-25
Bay of Plenty,202000,192122,216941,2021-12-25
Tairawhiti,38137,35750,41965,2021-12-25
Taranaki,94894,90558,102147,2021-12-25
Hawkes Bay,137529,130773,145571,2021-12-25
MidCentral,144682,138759,152302,2021-12-25
Whanganui,51784,49274,57247,2021-12-25
Capital and Coast,263983,258121,271174,2021-12-25
Hutt Valley,124342,120250,130239,2021-12-25
Wairarapa,39297,37750,41427,2021-12-25
Nelson Marlborough,128587,123203,135743,2021-12-25
West Coast,25525,24279,27906,2021-12-25
Canterbury,472048,458013,482890,2021-12-25
South Canterbury,49237,47586,52584,2021-12-25
Southern,277615,268925,288015,2021-12-25
Overseas / Unknown,2818,2648,17173,2021-12-25
New Zealand,3986890,3851981,4209057,2021-12-25
All DHBs to 90%,NA,NA,NA,2021-12-25
