DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145971,142211,84064,120326,161320,2022-03-13
Waitemata,508469,503100,315244,442221,526087,2022-03-13
Auckland,422067,417599,273614,372674,423958,2022-03-13
Counties Manukau,465558,458782,264626,391980,482773,2022-03-13
Waikato,340959,334913,195541,285777,357176,2022-03-13
Lakes,88491,86597,49878,71912,94419,2022-03-13
Bay of Plenty,206993,202967,118348,171297,216941,2022-03-13
Tairawhiti,39261,38226,21648,30951,41965,2022-03-13
Taranaki,96993,95357,56230,80317,102147,2022-03-13
Hawkes Bay,141835,139163,84804,116544,145571,2022-03-13
MidCentral,147659,145426,91918,123220,152302,2022-03-13
Whanganui,52946,51938,32542,43860,57247,2022-03-13
Capital and Coast,268089,265894,190096,234341,271174,2022-03-13
Hutt Valley,126306,124806,82777,107102,130239,2022-03-13
Wairarapa,40132,39461,25470,33837,41427,2022-03-13
Nelson Marlborough,131651,129778,84968,111451,135743,2022-03-13
West Coast,26003,25519,16066,21701,27906,2022-03-13
Canterbury,482743,477571,313263,415180,482890,2022-03-13
South Canterbury,50227,49595,32855,42828,52584,2022-03-13
Southern,283322,279792,182653,243245,288015,2022-03-13
Overseas / Unknown,2978,2880,1430,2481,17173,2022-03-13
New Zealand,4068653,4011575,2518035,3463245,4209057,2022-03-13
