DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,146011,142335,84715,121144,161320,2022-03-16
Waitemata,508607,503293,317220,443671,526087,2022-03-16
Auckland,422178,417717,275256,373733,423958,2022-03-16
Counties Manukau,465714,459008,266104,393888,482773,2022-03-16
Waikato,341051,335040,196978,287231,357176,2022-03-16
Lakes,88518,86634,50234,72499,94419,2022-03-16
Bay of Plenty,207071,203093,119136,172717,216941,2022-03-16
Tairawhiti,39267,38232,21820,31284,41965,2022-03-16
Taranaki,97011,95414,56664,80773,102147,2022-03-16
Hawkes Bay,141907,139269,85515,117446,145571,2022-03-16
MidCentral,147712,145519,92652,124019,152302,2022-03-16
Whanganui,52958,51968,32817,44127,57247,2022-03-16
Capital and Coast,268159,265988,191352,235205,271174,2022-03-16
Hutt Valley,126336,124875,83373,107776,130239,2022-03-16
Wairarapa,40157,39492,25667,34044,41427,2022-03-16
Nelson Marlborough,131677,129823,85474,112023,135743,2022-03-16
West Coast,26011,25532,16178,21801,27906,2022-03-16
Canterbury,482972,477850,316103,417287,482890,2022-03-16
South Canterbury,50267,49633,33105,43039,52584,2022-03-16
Southern,283744,280213,184141,244631,288015,2022-03-16
Overseas / Unknown,2965,2868,1440,2487,17173,2022-03-16
New Zealand,4070293,4013796,2535944,3480825,4209057,2022-03-16
