DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145491,141225,71972,109765,161320,2022-02-18
Waitemata,507605,501366,262270,422962,526087,2022-02-18
Auckland,421584,416621,229600,359789,423958,2022-02-18
Counties Manukau,464459,456559,219180,369708,482773,2022-02-18
Waikato,339946,333025,165329,264750,357176,2022-02-18
Lakes,88263,86033,42194,65331,94419,2022-02-18
Bay of Plenty,206419,201724,99631,156086,216941,2022-02-18
Tairawhiti,39102,37907,18102,27768,41965,2022-02-18
Taranaki,96764,94851,46213,72979,102147,2022-02-18
Hawkes Bay,141192,137990,71560,106727,145571,2022-02-18
MidCentral,147301,144585,77709,113486,152302,2022-02-18
Whanganui,52817,51648,28034,40293,57247,2022-02-18
Capital and Coast,267418,264729,157897,221654,271174,2022-02-18
Hutt Valley,126200,124366,69292,99796,130239,2022-02-18
Wairarapa,40045,39280,22204,31173,41427,2022-02-18
Nelson Marlborough,131276,129062,75508,103690,135743,2022-02-18
West Coast,25960,25383,13758,19581,27906,2022-02-18
Canterbury,480975,474791,249667,378350,482890,2022-02-18
South Canterbury,50171,49395,28159,39732,52584,2022-02-18
Southern,281511,277538,159230,225681,288015,2022-02-18
Overseas / Unknown,2969,2859,1173,2349,17173,2022-02-18
New Zealand,4057468,3990937,2108682,3231650,4209057,2022-02-18
