DHB,Dose1,Dose2,Population,Date
Northland,127447,103000,161320,2021-10-29
Waitemata,478860,417802,526087,2021-10-29
Auckland,397623,354251,423958,2021-10-29
Counties Manukau,427835,366733,482773,2021-10-29
Waikato,308535,254507,357176,2021-10-29
Lakes,75641,61016,94419,2021-10-29
Bay of Plenty,179551,143827,216941,2021-10-29
Tairawhiti,32626,26373,41965,2021-10-29
Taranaki,85658,66348,102147,2021-10-29
Hawkes Bay,122399,102181,145571,2021-10-29
MidCentral,130862,108830,152302,2021-10-29
Whanganui,45939,38606,57247,2021-10-29
Capital and Coast,249430,214922,271174,2021-10-29
Hutt Valley,114179,95258,130239,2021-10-29
Wairarapa,35304,29722,41427,2021-10-29
Nelson Marlborough,117338,102101,135743,2021-10-29
West Coast,22584,18378,27906,2021-10-29
Canterbury,436822,346684,482890,2021-10-29
South Canterbury,45162,38658,52584,2021-10-29
Southern,257654,220955,288015,2021-10-29
Overseas / Unknown,2040,1653,17173,2021-10-29
Total,3693489,3111805,4209057,2021-10-29
