DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145327,141912,87237,125832,161320,2022-04-18
Waitemata,507561,502776,327947,452719,526087,2022-04-18
Auckland,420606,416662,282764,379855,423958,2022-04-18
Counties Manukau,464420,458412,273828,403511,482773,2022-04-18
Waikato,339662,334308,202640,296447,357176,2022-04-18
Lakes,87987,86300,51530,75738,94419,2022-04-18
Bay of Plenty,206199,202527,121786,180512,216941,2022-04-18
Tairawhiti,39102,38180,22380,33011,41965,2022-04-18
Taranaki,96657,95242,58648,84147,102147,2022-04-18
Hawkes Bay,141429,139063,87819,122764,145571,2022-04-18
MidCentral,146846,144935,95035,128651,152302,2022-04-18
Whanganui,52624,51753,33780,46134,57247,2022-04-18
Capital and Coast,267040,265242,194957,240470,271174,2022-04-18
Hutt Valley,125850,124579,85446,111478,130239,2022-04-18
Wairarapa,39970,39373,26316,35264,41427,2022-04-18
Nelson Marlborough,130900,129260,87467,116469,135743,2022-04-18
West Coast,25862,25464,16670,22829,27906,2022-04-18
Canterbury,481461,477168,326118,429852,482890,2022-04-18
South Canterbury,49842,49310,33761,44370,52584,2022-04-18
Southern,283672,280627,189292,252743,288015,2022-04-18
Overseas / Unknown,2893,2799,1419,2560,17173,2022-04-18
New Zealand,4055910,4005892,2606840,3585356,4209057,2022-04-18
