DHB,Dose1,Dose2,Population,Date
Northland,142190,133568,161320,2021-12-20
Waitemata,499971,487297,526087,2021-12-20
Auckland,414056,404145,423958,2021-12-20
Counties Manukau,455418,439122,482773,2021-12-20
Waikato,333164,317901,357176,2021-12-20
Lakes,86369,81057,94419,2021-12-20
Bay of Plenty,201532,189984,216941,2021-12-20
Tairawhiti,38017,35275,41965,2021-12-20
Taranaki,94660,89674,102147,2021-12-20
Hawkes Bay,137025,129300,145571,2021-12-20
MidCentral,144382,137378,152302,2021-12-20
Whanganui,51660,48686,57247,2021-12-20
Capital and Coast,263632,256558,271174,2021-12-20
Hutt Valley,124087,119165,130239,2021-12-20
Wairarapa,39239,37439,41427,2021-12-20
Nelson Marlborough,128299,121923,135743,2021-12-20
West Coast,25442,23898,27906,2021-12-20
Canterbury,471241,454612,482890,2021-12-20
South Canterbury,49130,47131,52584,2021-12-20
Southern,277135,266749,288015,2021-12-20
Overseas / Unknown,2831,2652,17173,2021-12-20
New Zealand,3979480,3823514,4209057,2021-12-20
All DHBs to 90%,NA,NA,NA,2021-12-20
