DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145340,141886,86217,124055,161320,2022-03-29
Waitemata,507336,502268,322818,448891,526087,2022-03-29
Auckland,420923,416615,279692,377463,423958,2022-03-29
Counties Manukau,464430,458129,270498,399750,482773,2022-03-29
Waikato,339624,334017,200288,292953,357176,2022-03-29
Lakes,88036,86278,50968,74430,94419,2022-03-29
Bay of Plenty,206142,202334,120848,177405,216941,2022-03-29
Tairawhiti,39114,38134,22169,32329,41965,2022-03-29
Taranaki,96627,95167,57986,82665,102147,2022-03-29
Hawkes Bay,141357,138892,86959,120569,145571,2022-03-29
MidCentral,146925,144929,94211,126936,152302,2022-03-29
Whanganui,52638,51740,33375,45410,57247,2022-03-29
Capital and Coast,267274,265333,193792,238767,271174,2022-03-29
Hutt Valley,125838,124506,84702,110052,130239,2022-03-29
Wairarapa,39950,39336,26037,34781,41427,2022-03-29
Nelson Marlborough,130938,129229,86595,114542,135743,2022-03-29
West Coast,25843,25416,16488,22455,27906,2022-03-29
Canterbury,481332,476714,322591,424979,482890,2022-03-29
South Canterbury,49880,49309,33538,43871,52584,2022-03-29
Southern,282768,279567,186941,249602,288015,2022-03-29
Overseas / Unknown,2891,2787,1416,2503,17173,2022-03-29
New Zealand,4055206,4002586,2578129,3544408,4209057,2022-03-29
