DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145730,141676,78139,114111,161320,2022-02-27
Waitemata,508064,502238,294433,433475,526087,2022-02-27
Auckland,421896,417179,257069,367130,423958,2022-02-27
Counties Manukau,465034,457717,246500,381084,482773,2022-02-27
Waikato,340432,333915,182109,274549,357176,2022-02-27
Lakes,88398,86324,46321,68040,94419,2022-02-27
Bay of Plenty,206754,202417,110165,163287,216941,2022-02-27
Tairawhiti,39216,38100,20001,28968,41965,2022-02-27
Taranaki,96874,95117,51582,76290,102147,2022-02-27
Hawkes Bay,141463,138570,78567,110859,145571,2022-02-27
MidCentral,147413,144946,85713,117875,152302,2022-02-27
Whanganui,52875,51769,30437,41761,57247,2022-02-27
Capital and Coast,267782,265359,177815,228000,271174,2022-02-27
Hutt Valley,126245,124609,77145,103206,130239,2022-02-27
Wairarapa,40082,39363,24021,32275,41427,2022-02-27
Nelson Marlborough,131456,129419,81022,106879,135743,2022-02-27
West Coast,25972,25443,14978,20443,27906,2022-02-27
Canterbury,482102,476450,287760,397020,482890,2022-02-27
South Canterbury,50193,49507,30674,41170,52584,2022-02-27
Southern,281966,278299,173616,233588,288015,2022-02-27
Overseas / Unknown,2985,2877,1301,2425,17173,2022-02-27
New Zealand,4062932,4001294,2349368,3342435,4209057,2022-02-27
