DHB,Dose1,Dose2,Population,Date
Northland,143164,136725,161320,2022-01-08
Waitemata,502453,493238,526087,2022-01-08
Auckland,416748,409481,423958,2022-01-08
Counties Manukau,458033,446145,482773,2022-01-08
Waikato,335124,324468,357176,2022-01-08
Lakes,86964,83425,94419,2022-01-08
Bay of Plenty,203172,195684,216941,2022-01-08
Tairawhiti,38390,36432,41965,2022-01-08
Taranaki,95354,92119,102147,2022-01-08
Hawkes Bay,138289,132980,145571,2022-01-08
MidCentral,145196,140619,152302,2022-01-08
Whanganui,52016,50105,57247,2022-01-08
Capital and Coast,265032,260546,271174,2022-01-08
Hutt Valley,124791,121717,130239,2022-01-08
Wairarapa,39447,38250,41427,2022-01-08
Nelson Marlborough,129339,125531,135743,2022-01-08
West Coast,25613,24673,27906,2022-01-08
Canterbury,473967,463447,482890,2022-01-08
South Canterbury,49446,48154,52584,2022-01-08
Southern,278550,271906,288015,2022-01-08
Overseas / Unknown,2852,2698,17173,2022-01-08
New Zealand,4003940,3898343,4209057,2022-01-08
All DHBs to 90%,NA,NA,NA,2022-01-08
