DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145282,141770,85215,122012,161320,2022-03-19
Waitemata,507061,502016,319218,444903,526087,2022-03-19
Auckland,420859,416613,276744,374582,423958,2022-03-19
Counties Manukau,464409,458048,267941,395167,482773,2022-03-19
Waikato,339533,333855,197985,288813,357176,2022-03-19
Lakes,88046,86286,50478,72970,94419,2022-03-19
Bay of Plenty,205995,202180,119589,173926,216941,2022-03-19
Tairawhiti,39106,38106,21953,31502,41965,2022-03-19
Taranaki,96572,95071,57114,81207,102147,2022-03-19
Hawkes Bay,141192,138688,85969,118105,145571,2022-03-19
MidCentral,146897,144857,93165,124834,152302,2022-03-19
Whanganui,52624,51687,32991,44523,57247,2022-03-19
Capital and Coast,267170,265184,192060,236040,271174,2022-03-19
Hutt Valley,125794,124426,83782,108369,130239,2022-03-19
Wairarapa,39947,39312,25776,34235,41427,2022-03-19
Nelson Marlborough,130893,129203,85793,112641,135743,2022-03-19
West Coast,25833,25396,16303,21954,27906,2022-03-19
Canterbury,480938,476294,318193,419160,482890,2022-03-19
South Canterbury,49897,49308,33229,43256,52584,2022-03-19
Southern,282432,279169,184957,245804,288015,2022-03-19
Overseas / Unknown,2936,2841,1442,2501,17173,2022-03-19
New Zealand,4053416,4000310,2549897,3496504,4209057,2022-03-19
