DHB,Dose1,Dose2,Population,Date
Northland,136319,121255,161320,2021-11-25
Waitemata,491735,464607,526087,2021-11-25
Auckland,406644,387195,423958,2021-11-25
Counties Manukau,444416,412905,482773,2021-11-25
Waikato,323286,294578,357176,2021-11-25
Lakes,82381,73062,94419,2021-11-25
Bay of Plenty,192954,172313,216941,2021-11-25
Tairawhiti,35916,31239,41965,2021-11-25
Taranaki,91015,81693,102147,2021-11-25
Hawkes Bay,131060,117588,145571,2021-11-25
MidCentral,139268,126158,152302,2021-11-25
Whanganui,49366,44417,57247,2021-11-25
Capital and Coast,257309,242225,271174,2021-11-25
Hutt Valley,120011,110596,130239,2021-11-25
Wairarapa,38016,34047,41427,2021-11-25
Nelson Marlborough,122962,112554,135743,2021-11-25
West Coast,24391,21563,27906,2021-11-25
Canterbury,458006,418439,482890,2021-11-25
South Canterbury,47445,43588,52584,2021-11-25
Southern,269372,247999,288015,2021-11-25
Overseas / Unknown,2825,2524,17173,2021-11-25
New Zealand,3864697,3560545,4209057,2021-11-25
All DHBs to 90%,NA,NA,NA,2021-11-25
