DHB,Dose1,Dose2,Population,Date
Northland,144995,140292,161320,2022-02-05
Waitemata,506828,499940,526087,2022-02-05
Auckland,420918,415515,423958,2022-02-05
Counties Manukau,463304,454445,482773,2022-02-05
Waikato,339018,331222,357176,2022-02-05
Lakes,87980,85496,94419,2022-02-05
Bay of Plenty,205800,200485,216941,2022-02-05
Tairawhiti,38954,37635,41965,2022-02-05
Taranaki,96573,94407,102147,2022-02-05
Hawkes Bay,140568,136949,145571,2022-02-05
MidCentral,146868,143794,152302,2022-02-05
Whanganui,52670,51332,57247,2022-02-05
Capital and Coast,267083,264087,271174,2022-02-05
Hutt Valley,126004,123895,130239,2022-02-05
Wairarapa,39942,39117,41427,2022-02-05
Nelson Marlborough,130985,128466,135743,2022-02-05
West Coast,25920,25255,27906,2022-02-05
Canterbury,479063,472052,482890,2022-02-05
South Canterbury,50055,49178,52584,2022-02-05
Southern,280975,276505,288015,2022-02-05
Overseas / Unknown,2918,2799,17173,2022-02-05
New Zealand,4047421,3972866,4209057,2022-02-05
All DHBs to 90%,NA,NA,NA,2022-02-05
