DHB,Dose1,Dose2,Population,Date
Northland,132038,113280,161320,2021-11-11
Waitemata,485597,445647,526087,2021-11-11
Auckland,402482,373813,423958,2021-11-11
Counties Manukau,437060,393525,482773,2021-11-11
Waikato,316077,276942,357176,2021-11-11
Lakes,78443,67465,94419,2021-11-11
Bay of Plenty,184554,159046,216941,2021-11-11
Tairawhiti,34270,28956,41965,2021-11-11
Taranaki,88103,74783,102147,2021-11-11
Hawkes Bay,126608,110640,145571,2021-11-11
MidCentral,134503,117757,152302,2021-11-11
Whanganui,47444,41688,57247,2021-11-11
Capital and Coast,252839,230764,271174,2021-11-11
Hutt Valley,116673,104367,130239,2021-11-11
Wairarapa,36310,31743,41427,2021-11-11
Nelson Marlborough,119955,107341,135743,2021-11-11
West Coast,23560,20121,27906,2021-11-11
Canterbury,449487,389457,482890,2021-11-11
South Canterbury,46484,41433,52584,2021-11-11
Southern,264093,235421,288015,2021-11-11
Overseas / Unknown,2997,2630,17173,2021-11-11
New Zealand,3779577,3366819,4209057,2021-11-11
All DHBs to 90%,NA,NA,NA,2021-11-11
