DHB,Dose1,Dose2,Population,Date
Northland,144161,138939,161320,2022-01-23
Waitemata,505265,497651,526087,2022-01-23
Auckland,419989,414010,423958,2022-01-23
Counties Manukau,461362,451543,482773,2022-01-23
Waikato,337444,328769,357176,2022-01-23
Lakes,87641,84757,94419,2022-01-23
Bay of Plenty,204691,198629,216941,2022-01-23
Tairawhiti,38698,37204,41965,2022-01-23
Taranaki,96039,93491,102147,2022-01-23
Hawkes Bay,139510,135333,145571,2022-01-23
MidCentral,146150,142631,152302,2022-01-23
Whanganui,52380,50874,57247,2022-01-23
Capital and Coast,266420,262940,271174,2022-01-23
Hutt Valley,125521,123137,130239,2022-01-23
Wairarapa,39746,38811,41427,2022-01-23
Nelson Marlborough,130401,127466,135743,2022-01-23
West Coast,25791,25049,27906,2022-01-23
Canterbury,476918,468919,482890,2022-01-23
South Canterbury,49791,48793,52584,2022-01-23
Southern,279941,274803,288015,2022-01-23
Overseas / Unknown,2950,2823,17173,2022-01-23
New Zealand,4030809,3946572,4209057,2022-01-23
All DHBs to 90%,NA,NA,NA,2022-01-23
