DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145303,141863,86436,124483,161320,2022-04-01
Waitemata,507374,502286,323592,449777,526087,2022-04-01
Auckland,420807,416476,280318,378054,423958,2022-04-01
Counties Manukau,464375,458033,271062,400761,482773,2022-04-01
Waikato,339649,334048,200846,294032,357176,2022-04-01
Lakes,87991,86228,51112,74729,94419,2022-04-01
Bay of Plenty,206155,202364,121063,178404,216941,2022-04-01
Tairawhiti,39100,38131,22209,32512,41965,2022-04-01
Taranaki,96639,95191,58156,83038,102147,2022-04-01
Hawkes Bay,141354,138910,87204,121176,145571,2022-04-01
MidCentral,146910,144921,94432,127430,152302,2022-04-01
Whanganui,52628,51739,33478,45596,57247,2022-04-01
Capital and Coast,267201,265285,194044,239304,271174,2022-04-01
Hutt Valley,125833,124506,84868,110427,130239,2022-04-01
Wairarapa,39935,39321,26091,34900,41427,2022-04-01
Nelson Marlborough,130864,129148,86775,115056,135743,2022-04-01
West Coast,25853,25436,16548,22569,27906,2022-04-01
Canterbury,481359,476728,323463,426372,482890,2022-04-01
South Canterbury,49882,49312,33594,44017,52584,2022-04-01
Southern,283089,279903,187614,250730,288015,2022-04-01
Overseas / Unknown,2870,2764,1399,2490,17173,2022-04-01
New Zealand,4055171,4002593,2584304,3555857,4209057,2022-04-01
