DHB,Dose1,Dose2,Population,Date
Northland,130309,109651,161320,2021-11-07
Waitemata,483872,439497,526087,2021-11-07
Auckland,401189,369194,423958,2021-11-07
Counties Manukau,434713,387506,482773,2021-11-07
Waikato,313999,270798,357176,2021-11-07
Lakes,77612,65671,94419,2021-11-07
Bay of Plenty,183012,155328,216941,2021-11-07
Tairawhiti,33749,28154,41965,2021-11-07
Taranaki,87526,72327,102147,2021-11-07
Hawkes Bay,125492,108527,145571,2021-11-07
MidCentral,133419,115196,152302,2021-11-07
Whanganui,46948,40705,57247,2021-11-07
Capital and Coast,251764,226738,271174,2021-11-07
Hutt Valley,115953,102369,130239,2021-11-07
Wairarapa,36007,31202,41427,2021-11-07
Nelson Marlborough,119196,105809,135743,2021-11-07
West Coast,23286,19760,27906,2021-11-07
Canterbury,446796,378892,482890,2021-11-07
South Canterbury,46196,40741,52584,2021-11-07
Southern,262461,231086,288015,2021-11-07
Overseas / Unknown,2051,1739,17173,2021-11-07
Total,3755550,3300890,4209057,2021-11-07
