DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145997,142281,84462,120706,161320,2022-03-15
Waitemata,508532,503224,316569,443087,526087,2022-03-15
Auckland,422123,417670,274750,373252,423958,2022-03-15
Counties Manukau,465652,458923,265605,393176,482773,2022-03-15
Waikato,341028,334988,196493,286533,357176,2022-03-15
Lakes,88509,86626,50079,72248,94419,2022-03-15
Bay of Plenty,207040,203049,118903,172126,216941,2022-03-15
Tairawhiti,39258,38225,21753,31170,41965,2022-03-15
Taranaki,96992,95374,56451,80568,102147,2022-03-15
Hawkes Bay,141859,139208,85184,117126,145571,2022-03-15
MidCentral,147724,145519,92415,123648,152302,2022-03-15
Whanganui,52949,51953,32720,43995,57247,2022-03-15
Capital and Coast,268133,265959,190973,234823,271174,2022-03-15
Hutt Valley,126303,124840,83142,107499,130239,2022-03-15
Wairarapa,40144,39483,25602,33959,41427,2022-03-15
Nelson Marlborough,131646,129795,85304,111751,135743,2022-03-15
West Coast,26010,25527,16134,21716,27906,2022-03-15
Canterbury,482897,477764,315202,416386,482890,2022-03-15
South Canterbury,50241,49614,32994,42924,52584,2022-03-15
Southern,283657,280112,183663,244020,288015,2022-03-15
Overseas / Unknown,2967,2870,1432,2487,17173,2022-03-15
New Zealand,4069661,4013004,2529830,3473200,4209057,2022-03-15
