DHB,Dose1,Dose2,Population,Date
Northland,124581,98596,161320,2021-10-22
Waitemata,472845,393932,526087,2021-10-22
Auckland,393369,337329,423958,2021-10-22
Counties Manukau,420059,347137,482773,2021-10-22
Waikato,302169,241318,357176,2021-10-22
Lakes,73975,57433,94419,2021-10-22
Bay of Plenty,176124,133220,216941,2021-10-22
Tairawhiti,31756,25265,41965,2021-10-22
Taranaki,83776,62349,102147,2021-10-22
Hawkes Bay,120053,97596,145571,2021-10-22
MidCentral,128334,103512,152302,2021-10-22
Whanganui,44985,37155,57247,2021-10-22
Capital and Coast,246756,203157,271174,2021-10-22
Hutt Valley,112335,89431,130239,2021-10-22
Wairarapa,34631,28309,41427,2021-10-22
Nelson Marlborough,114814,98763,135743,2021-10-22
West Coast,21893,17447,27906,2021-10-22
Canterbury,424841,315638,482890,2021-10-22
South Canterbury,44119,36547,52584,2021-10-22
Southern,252587,210004,288015,2021-10-22
Overseas / Unknown,2017,1574,17173,2021-10-22
Total,3626019,2935712,4209057,2021-10-22
