DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145352,141925,87081,125362,161320,2022-04-11
Waitemata,507534,502708,327502,452946,526087,2022-04-11
Auckland,420644,416667,282500,379939,423958,2022-04-11
Counties Manukau,464412,458377,273499,403531,482773,2022-04-11
Waikato,339655,334261,202384,296096,357176,2022-04-11
Lakes,87992,86299,51496,75539,94419,2022-04-11
Bay of Plenty,206230,202530,121675,180097,216941,2022-04-11
Tairawhiti,39094,38166,22344,32878,41965,2022-04-11
Taranaki,96650,95220,58559,83891,102147,2022-04-11
Hawkes Bay,141353,138970,87701,122257,145571,2022-04-11
MidCentral,146879,144947,94922,128289,152302,2022-04-11
Whanganui,52626,51755,33715,45990,57247,2022-04-11
Capital and Coast,267117,265302,195021,240300,271174,2022-04-11
Hutt Valley,125846,124564,85375,111231,130239,2022-04-11
Wairarapa,39950,39345,26278,35208,41427,2022-04-11
Nelson Marlborough,130887,129228,87350,116128,135743,2022-04-11
West Coast,25858,25453,16657,22781,27906,2022-04-11
Canterbury,481463,477108,325721,429209,482890,2022-04-11
South Canterbury,49843,49299,33746,44238,52584,2022-04-11
Southern,283639,280574,189042,252676,288015,2022-04-11
Overseas / Unknown,2802,2708,1365,2467,17173,2022-04-11
New Zealand,4055826,4005406,2603933,3581053,4209057,2022-04-11
