DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145927,142115,83311,118573,161320,2022-03-09
Waitemata,508387,502894,311922,439400,526087,2022-03-09
Auckland,421999,417483,270851,370672,423958,2022-03-09
Counties Manukau,465422,458509,261227,388762,482773,2022-03-09
Waikato,340865,334695,193544,282511,357176,2022-03-09
Lakes,88494,86540,49316,70941,94419,2022-03-09
Bay of Plenty,206977,202882,117034,169061,216941,2022-03-09
Tairawhiti,39245,38194,21348,30496,41965,2022-03-09
Taranaki,96972,95301,55419,79323,102147,2022-03-09
Hawkes Bay,141738,139030,83734,115089,145571,2022-03-09
MidCentral,147618,145334,90949,121477,152302,2022-03-09
Whanganui,52962,51928,32233,43238,57247,2022-03-09
Capital and Coast,267985,265732,188382,232422,271174,2022-03-09
Hutt Valley,126307,124780,81899,106036,130239,2022-03-09
Wairarapa,40120,39439,25222,33347,41427,2022-03-09
Nelson Marlborough,131637,129731,84115,110324,135743,2022-03-09
West Coast,25980,25492,15890,21331,27906,2022-03-09
Canterbury,482610,477349,309053,410985,482890,2022-03-09
South Canterbury,50220,49579,32495,42377,52584,2022-03-09
Southern,283137,279507,181036,241142,288015,2022-03-09
Overseas / Unknown,2982,2881,1416,2458,17173,2022-03-09
New Zealand,4067584,4009395,2490396,3429965,4209057,2022-03-09
