DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145271,141745,85010,122011,161320,2022-03-18
Waitemata,507001,501947,318481,444906,526087,2022-03-18
Auckland,420832,416564,276160,374585,423958,2022-03-18
Counties Manukau,464348,457949,266975,395172,482773,2022-03-18
Waikato,339485,333815,197714,288807,357176,2022-03-18
Lakes,88034,86258,50369,72965,94419,2022-03-18
Bay of Plenty,205975,202164,119390,173929,216941,2022-03-18
Tairawhiti,39105,38104,21925,31505,41965,2022-03-18
Taranaki,96567,95065,56996,81209,102147,2022-03-18
Hawkes Bay,141170,138650,85790,118092,145571,2022-03-18
MidCentral,146876,144832,92981,124831,152302,2022-03-18
Whanganui,52617,51682,32954,44521,57247,2022-03-18
Capital and Coast,267150,265156,191825,236047,271174,2022-03-18
Hutt Valley,125771,124408,83622,108366,130239,2022-03-18
Wairarapa,39946,39313,25721,34236,41427,2022-03-18
Nelson Marlborough,130890,129192,85691,112643,135743,2022-03-18
West Coast,25832,25391,16265,21954,27906,2022-03-18
Canterbury,480899,476208,317462,419148,482890,2022-03-18
South Canterbury,49897,49304,33179,43257,52584,2022-03-18
Southern,282415,279142,184746,245808,288015,2022-03-18
Overseas / Unknown,2938,2843,1437,2502,17173,2022-03-18
New Zealand,4053019,3999732,2544693,3496494,4209057,2022-03-18
