DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145344,141925,87093,125366,161320,2022-04-12
Waitemata,507566,502752,327427,453287,526087,2022-04-12
Auckland,420665,416685,282317,380460,423958,2022-04-12
Counties Manukau,464410,458382,273411,403656,482773,2022-04-12
Waikato,339666,334285,202331,296067,357176,2022-04-12
Lakes,87989,86294,51470,75473,94419,2022-04-12
Bay of Plenty,206224,202531,121669,179974,216941,2022-04-12
Tairawhiti,39106,38179,22342,32910,41965,2022-04-12
Taranaki,96647,95218,58543,83890,102147,2022-04-12
Hawkes Bay,141372,138995,87693,122280,145571,2022-04-12
MidCentral,146875,144950,94915,128309,152302,2022-04-12
Whanganui,52625,51755,33724,45989,57247,2022-04-12
Capital and Coast,267113,265303,194848,240530,271174,2022-04-12
Hutt Valley,125852,124577,85354,111265,130239,2022-04-12
Wairarapa,39963,39358,26275,35197,41427,2022-04-12
Nelson Marlborough,130881,129227,87334,116241,135743,2022-04-12
West Coast,25853,25448,16643,22719,27906,2022-04-12
Canterbury,481452,477116,325629,428759,482890,2022-04-12
South Canterbury,49845,49308,33732,44255,52584,2022-04-12
Southern,283659,280600,189023,252437,288015,2022-04-12
Overseas / Unknown,2797,2703,1360,2460,17173,2022-04-12
New Zealand,4055904,4005591,2603133,3581524,4209057,2022-04-12
