DHB,Dose1,Dose2,Population,Date
Northland,144551,139541,161320,2022-01-27
Waitemata,505952,498589,526087,2022-01-27
Auckland,420386,414551,423958,2022-01-27
Counties Manukau,462120,452595,482773,2022-01-27
Waikato,338152,329747,357176,2022-01-27
Lakes,87792,85052,94419,2022-01-27
Bay of Plenty,205234,199465,216941,2022-01-27
Tairawhiti,38830,37409,41965,2022-01-27
Taranaki,96285,93845,102147,2022-01-27
Hawkes Bay,139902,135886,145571,2022-01-27
MidCentral,146376,143023,152302,2022-01-27
Whanganui,52466,51026,57247,2022-01-27
Capital and Coast,266650,263335,271174,2022-01-27
Hutt Valley,125670,123378,130239,2022-01-27
Wairarapa,39810,38897,41427,2022-01-27
Nelson Marlborough,130670,127882,135743,2022-01-27
West Coast,25837,25120,27906,2022-01-27
Canterbury,477859,470144,482890,2022-01-27
South Canterbury,49907,48935,52584,2022-01-27
Southern,280369,275455,288015,2022-01-27
Overseas / Unknown,2957,2833,17173,2022-01-27
New Zealand,4037775,3956708,4209057,2022-01-27
All DHBs to 90%,NA,NA,NA,2022-01-27
