DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145402,142032,87525,126657,161320,2022-04-27
Waitemata,507599,502910,329399,454025,526087,2022-04-27
Auckland,420538,416655,283787,380839,423958,2022-04-27
Counties Manukau,464483,458555,274928,405292,482773,2022-04-27
Waikato,339648,334344,203231,297910,357176,2022-04-27
Lakes,87966,86293,51695,76258,94419,2022-04-27
Bay of Plenty,206270,202638,122149,181617,216941,2022-04-27
Tairawhiti,39105,38189,22463,33303,41965,2022-04-27
Taranaki,96678,95282,58829,84652,102147,2022-04-27
Hawkes Bay,141524,139167,88156,123558,145571,2022-04-27
MidCentral,146824,144939,95314,129340,152302,2022-04-27
Whanganui,52619,51760,33865,46381,57247,2022-04-27
Capital and Coast,266998,265237,195345,241091,271174,2022-04-27
Hutt Valley,125847,124579,85654,111897,130239,2022-04-27
Wairarapa,39962,39368,26377,35399,41427,2022-04-27
Nelson Marlborough,130893,129271,87665,117104,135743,2022-04-27
West Coast,25874,25480,16724,22989,27906,2022-04-27
Canterbury,481565,477333,327285,431809,482890,2022-04-27
South Canterbury,49809,49284,33817,44543,52584,2022-04-27
Southern,283677,280652,189798,253915,288015,2022-04-27
Overseas / Unknown,2906,2809,1430,2605,17173,2022-04-27
New Zealand,4056187,4006777,2615436,3601184,4209057,2022-04-27
