DHB,Dose1,Dose2,Population,Date
Northland,145084,140457,161320,2022-02-08
Waitemata,506984,500215,526087,2022-02-08
Auckland,420984,415651,423958,2022-02-08
Counties Manukau,463571,454891,482773,2022-02-08
Waikato,339209,331559,357176,2022-02-08
Lakes,88067,85609,94419,2022-02-08
Bay of Plenty,205894,200743,216941,2022-02-08
Tairawhiti,38990,37708,41965,2022-02-08
Taranaki,96612,94486,102147,2022-02-08
Hawkes Bay,140624,137060,145571,2022-02-08
MidCentral,146964,143940,152302,2022-02-08
Whanganui,52681,51366,57247,2022-02-08
Capital and Coast,267092,264162,271174,2022-02-08
Hutt Valley,126016,123966,130239,2022-02-08
Wairarapa,39968,39153,41427,2022-02-08
Nelson Marlborough,131039,128555,135743,2022-02-08
West Coast,25933,25280,27906,2022-02-08
Canterbury,479254,472352,482890,2022-02-08
South Canterbury,50075,49206,52584,2022-02-08
Southern,281037,276666,288015,2022-02-08
Overseas / Unknown,2915,2798,17173,2022-02-08
New Zealand,4048993,3975823,4209057,2022-02-08
All DHBs to 90%,NA,NA,NA,2022-02-08
