DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145284,141774,85252,122635,161320,2022-03-20
Waitemata,507106,502046,319603,446029,526087,2022-03-20
Auckland,420861,416594,276985,375406,423958,2022-03-20
Counties Manukau,464416,458046,268152,396678,482773,2022-03-20
Waikato,339526,333849,198124,289941,357176,2022-03-20
Lakes,88052,86289,50546,73440,94419,2022-03-20
Bay of Plenty,206013,202190,119717,174823,216941,2022-03-20
Tairawhiti,39109,38117,22005,31658,41965,2022-03-20
Taranaki,96580,95085,57239,81571,102147,2022-03-20
Hawkes Bay,141200,138699,86089,118730,145571,2022-03-20
MidCentral,146895,144858,93224,125374,152302,2022-03-20
Whanganui,52622,51685,33016,44718,57247,2022-03-20
Capital and Coast,267169,265184,192150,236800,271174,2022-03-20
Hutt Valley,125796,124435,83858,108777,130239,2022-03-20
Wairarapa,39947,39313,25779,34414,41427,2022-03-20
Nelson Marlborough,130900,129208,85836,113148,135743,2022-03-20
West Coast,25830,25393,16300,22083,27906,2022-03-20
Canterbury,480959,476304,318487,420654,482890,2022-03-20
South Canterbury,49895,49306,33242,43425,52584,2022-03-20
Southern,282445,279182,185044,246674,288015,2022-03-20
Overseas / Unknown,2939,2844,1442,2519,17173,2022-03-20
New Zealand,4053544,4000401,2552090,3509497,4209057,2022-03-20
