DHB,Dose1,Dose2,Population,Date
Northland,134144,117029,161320,2021-11-17
Waitemata,488554,454766,526087,2021-11-17
Auckland,404473,380462,423958,2021-11-17
Counties Manukau,440888,403027,482773,2021-11-17
Waikato,319464,285509,357176,2021-11-17
Lakes,80566,70445,94419,2021-11-17
Bay of Plenty,188088,165241,216941,2021-11-17
Tairawhiti,35181,30016,41965,2021-11-17
Taranaki,89849,78317,102147,2021-11-17
Hawkes Bay,128674,113639,145571,2021-11-17
MidCentral,136714,121778,152302,2021-11-17
Whanganui,48278,42947,57247,2021-11-17
Capital and Coast,254770,236213,271174,2021-11-17
Hutt Valley,118041,107279,130239,2021-11-17
Wairarapa,37357,33000,41427,2021-11-17
Nelson Marlborough,121234,109637,135743,2021-11-17
West Coast,24005,20790,27906,2021-11-17
Canterbury,452849,401046,482890,2021-11-17
South Canterbury,46909,42332,52584,2021-11-17
Southern,266333,240809,288015,2021-11-17
Overseas / Unknown,2850,2543,17173,2021-11-17
New Zealand,3819221,3456825,4209057,2021-11-17
All DHBs to 90%,NA,NA,NA,2021-11-17
