DHB,Dose1,Dose2,Population,Date
Northland,126580,101394,161320,2021-10-27
Waitemata,477145,410477,526087,2021-10-27
Auckland,396425,348980,423958,2021-10-27
Counties Manukau,425796,360825,482773,2021-10-27
Waikato,306361,248743,357176,2021-10-27
Lakes,75016,59563,94419,2021-10-27
Bay of Plenty,178418,140261,216941,2021-10-27
Tairawhiti,32294,25934,41965,2021-10-27
Taranaki,84995,64699,102147,2021-10-27
Hawkes Bay,121407,100094,145571,2021-10-27
MidCentral,130001,107033,152302,2021-10-27
Whanganui,45595,37894,57247,2021-10-27
Capital and Coast,248425,210931,271174,2021-10-27
Hutt Valley,113578,93251,130239,2021-10-27
Wairarapa,35045,29159,41427,2021-10-27
Nelson Marlborough,116601,100969,135743,2021-10-27
West Coast,22281,17917,27906,2021-10-27
Canterbury,431211,333247,482890,2021-10-27
South Canterbury,44649,37775,52584,2021-10-27
Southern,255355,216761,288015,2021-10-27
Overseas / Unknown,2038,1617,17173,2021-10-27
Total,3669216,3047524,4209057,2021-10-27
