DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145351,141901,86338,124122,161320,2022-03-30
Waitemata,507363,502295,323070,449034,526087,2022-03-30
Auckland,420886,416570,279891,377514,423958,2022-03-30
Counties Manukau,464418,458102,270688,399853,482773,2022-03-30
Waikato,339655,334042,200492,293162,357176,2022-03-30
Lakes,88020,86256,51015,74492,94419,2022-03-30
Bay of Plenty,206160,202352,120921,177574,216941,2022-03-30
Tairawhiti,39116,38138,22178,32336,41965,2022-03-30
Taranaki,96634,95171,58038,82703,102147,2022-03-30
Hawkes Bay,141367,138914,87041,120646,145571,2022-03-30
MidCentral,146931,144940,94306,127019,152302,2022-03-30
Whanganui,52630,51736,33408,45438,57247,2022-03-30
Capital and Coast,267259,265327,193878,238881,271174,2022-03-30
Hutt Valley,125854,124522,84774,110094,130239,2022-03-30
Wairarapa,39948,39333,26050,34782,41427,2022-03-30
Nelson Marlborough,130925,129212,86656,114566,135743,2022-03-30
West Coast,25848,25424,16513,22465,27906,2022-03-30
Canterbury,481379,476738,322898,425245,482890,2022-03-30
South Canterbury,49885,49315,33558,43881,52584,2022-03-30
Southern,282865,279669,187175,249799,288015,2022-03-30
Overseas / Unknown,2898,2795,1418,2512,17173,2022-03-30
New Zealand,4055392,4002752,2580306,3546118,4209057,2022-03-30
