DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145955,142183,83879,119578,161320,2022-03-11
Waitemata,508427,503022,313780,440731,526087,2022-03-11
Auckland,422039,417535,272334,371632,423958,2022-03-11
Counties Manukau,465502,458669,262660,390067,482773,2022-03-11
Waikato,340945,334860,194956,284393,357176,2022-03-11
Lakes,88477,86570,49612,71509,94419,2022-03-11
Bay of Plenty,206988,202931,117744,170155,216941,2022-03-11
Tairawhiti,39254,38213,21520,30772,41965,2022-03-11
Taranaki,96987,95350,56009,79870,102147,2022-03-11
Hawkes Bay,141804,139118,84350,115873,145571,2022-03-11
MidCentral,147645,145401,91658,122486,152302,2022-03-11
Whanganui,52948,51936,32467,43544,57247,2022-03-11
Capital and Coast,268085,265866,189545,233469,271174,2022-03-11
Hutt Valley,126305,124793,82398,106611,130239,2022-03-11
Wairarapa,40128,39454,25386,33607,41427,2022-03-11
Nelson Marlborough,131638,129756,84608,110930,135743,2022-03-11
West Coast,26002,25516,16041,21522,27906,2022-03-11
Canterbury,482713,477516,311850,413278,482890,2022-03-11
South Canterbury,50220,49586,32736,42606,52584,2022-03-11
Southern,283302,279746,182167,242311,288015,2022-03-11
Overseas / Unknown,2977,2881,1424,2468,17173,2022-03-11
New Zealand,4068341,4010902,2507124,3447412,4209057,2022-03-11
