DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145478,141181,71175,109767,161320,2022-02-17
Waitemata,507591,501310,259078,422965,526087,2022-02-17
Auckland,421531,416537,227043,359757,423958,2022-02-17
Counties Manukau,464404,456452,216672,369698,482773,2022-02-17
Waikato,339891,332897,163390,264741,357176,2022-02-17
Lakes,88263,86019,41851,65333,94419,2022-02-17
Bay of Plenty,206396,201668,98549,156078,216941,2022-02-17
Tairawhiti,39100,37897,17947,27771,41965,2022-02-17
Taranaki,96753,94826,45500,72989,102147,2022-02-17
Hawkes Bay,141173,137961,70770,106721,145571,2022-02-17
MidCentral,147280,144547,76730,113477,152302,2022-02-17
Whanganui,52804,51628,27749,40298,57247,2022-02-17
Capital and Coast,267389,264687,155223,221645,271174,2022-02-17
Hutt Valley,126192,124335,68182,99799,130239,2022-02-17
Wairarapa,40037,39274,21986,31172,41427,2022-02-17
Nelson Marlborough,131280,129042,74907,103707,135743,2022-02-17
West Coast,25947,25362,13536,19576,27906,2022-02-17
Canterbury,480800,474564,246350,378218,482890,2022-02-17
South Canterbury,50172,49389,27758,39738,52584,2022-02-17
Southern,281460,277455,157574,225657,288015,2022-02-17
Overseas / Unknown,2952,2842,1160,2336,17173,2022-02-17
New Zealand,4056893,3989873,2083130,3231443,4209057,2022-02-17
