DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145373,141989,87433,126466,161320,2022-04-25
Waitemata,507580,502869,329003,453703,526087,2022-04-25
Auckland,420573,416674,283540,380649,423958,2022-04-25
Counties Manukau,464474,458526,274750,404922,482773,2022-04-25
Waikato,339660,334342,203037,297555,357176,2022-04-25
Lakes,87961,86286,51664,76110,94419,2022-04-25
Bay of Plenty,206262,202616,122034,181326,216941,2022-04-25
Tairawhiti,39118,38201,22464,33258,41965,2022-04-25
Taranaki,96678,95280,58785,84514,102147,2022-04-25
Hawkes Bay,141493,139136,88060,123394,145571,2022-04-25
MidCentral,146854,144967,95219,129238,152302,2022-04-25
Whanganui,52603,51741,33825,46327,57247,2022-04-25
Capital and Coast,267020,265243,195224,240978,271174,2022-04-25
Hutt Valley,125851,124589,85610,111836,130239,2022-04-25
Wairarapa,39961,39365,26350,35372,41427,2022-04-25
Nelson Marlborough,130904,129285,87625,116953,135743,2022-04-25
West Coast,25876,25482,16717,22958,27906,2022-04-25
Canterbury,481539,477288,326922,431376,482890,2022-04-25
South Canterbury,49817,49291,33800,44501,52584,2022-04-25
Southern,283662,280625,189653,253622,288015,2022-04-25
Overseas / Unknown,2908,2810,1429,2600,17173,2022-04-25
New Zealand,4056167,4006605,2613144,3597658,4209057,2022-04-25
