DHB,Dose1,Dose2,Population,Date
Northland,143554,137618,161320,2022-01-12
Waitemata,503556,495016,526087,2022-01-12
Auckland,418071,411293,423958,2022-01-12
Counties Manukau,459140,448125,482773,2022-01-12
Waikato,335919,326012,357176,2022-01-12
Lakes,87185,83909,94419,2022-01-12
Bay of Plenty,203713,196788,216941,2022-01-12
Tairawhiti,38493,36715,41965,2022-01-12
Taranaki,95591,92613,102147,2022-01-12
Hawkes Bay,138661,133749,145571,2022-01-12
MidCentral,145513,141367,152302,2022-01-12
Whanganui,52121,50362,57247,2022-01-12
Capital and Coast,265629,261522,271174,2022-01-12
Hutt Valley,125034,122273,130239,2022-01-12
Wairarapa,39539,38441,41427,2022-01-12
Nelson Marlborough,129712,126256,135743,2022-01-12
West Coast,25666,24789,27906,2022-01-12
Canterbury,475015,465501,482890,2022-01-12
South Canterbury,49560,48364,52584,2022-01-12
Southern,279048,273005,288015,2022-01-12
Overseas / Unknown,2887,2744,17173,2022-01-12
New Zealand,4013607,3916462,4209057,2022-01-12
All DHBs to 90%,NA,NA,NA,2022-01-12
