DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145345,141952,87358,126240,161320,2022-04-21
Waitemata,507561,502800,328498,453198,526087,2022-04-21
Auckland,420649,416742,283222,380306,423958,2022-04-21
Counties Manukau,464464,458496,274328,404243,482773,2022-04-21
Waikato,339681,334348,202886,297064,357176,2022-04-21
Lakes,87989,86307,51600,75933,94419,2022-04-21
Bay of Plenty,206250,202596,121939,180945,216941,2022-04-21
Tairawhiti,39106,38185,22409,33140,41965,2022-04-21
Taranaki,96678,95280,58731,84350,102147,2022-04-21
Hawkes Bay,141444,139086,87950,123059,145571,2022-04-21
MidCentral,146864,144966,95150,128976,152302,2022-04-21
Whanganui,52617,51750,33814,46243,57247,2022-04-21
Capital and Coast,267045,265255,195134,240737,271174,2022-04-21
Hutt Valley,125853,124592,85528,111667,130239,2022-04-21
Wairarapa,39968,39371,26328,35336,41427,2022-04-21
Nelson Marlborough,130908,129284,87557,116715,135743,2022-04-21
West Coast,25867,25473,16694,22878,27906,2022-04-21
Canterbury,481500,477246,326604,430616,482890,2022-04-21
South Canterbury,49840,49312,33796,44452,52584,2022-04-21
Southern,283657,280622,189509,253231,288015,2022-04-21
Overseas / Unknown,2903,2808,1421,2579,17173,2022-04-21
New Zealand,4056189,4006471,2610456,3591908,4209057,2022-04-21
