DHB,Dose1,Dose2,Population,Date
Northland,135406,119229,161320,2021-11-22
Waitemata,490473,460765,526087,2021-11-22
Auckland,405719,384317,423958,2021-11-22
Counties Manukau,443358,409427,482773,2021-11-22
Waikato,321868,290838,357176,2021-11-22
Lakes,81602,72069,94419,2021-11-22
Bay of Plenty,191009,169679,216941,2021-11-22
Tairawhiti,35648,30785,41965,2021-11-22
Taranaki,90703,80323,102147,2021-11-22
Hawkes Bay,130146,116022,145571,2021-11-22
MidCentral,138348,124557,152302,2021-11-22
Whanganui,48927,43772,57247,2021-11-22
Capital and Coast,256336,239951,271174,2021-11-22
Hutt Valley,119204,109372,130239,2021-11-22
Wairarapa,37827,33696,41427,2021-11-22
Nelson Marlborough,122269,111373,135743,2021-11-22
West Coast,24212,21272,27906,2021-11-22
Canterbury,455873,412060,482890,2021-11-22
South Canterbury,47252,43139,52584,2021-11-22
Southern,267914,244806,288015,2021-11-22
Overseas / Unknown,2826,2544,17173,2021-11-22
New Zealand,3846920,3519996,4209057,2021-11-22
All DHBs to 90%,NA,NA,NA,2021-11-22
